1
17
1:(2,10)
2:(5,14)
3:(5,10)
4:(5,6)
5:(9,14)
6:(9,10)
7:(9,6)
8:(14,10)
9:(18,10)
10:(23,14)
11:(23,10)
12:(23,6)
13:(27,14)
14:(27,10)
15:(27,6)
16:(30,10)
17:(34,10)
1,2,5
2,1,5
1,3,3
3,1,3
1,4,5
4,1,5
2,5,4
5,2,4
3,6,4
6,3,4
4,7,4
7,4,4
5,6,3
6,5,3
7,6,3
6,7,3
5,8,8
8,5,8
6,8,2
8,6,2
7,8,8
8,7,8
8,9,3
9,8,3
9,10,7
10,9,7
9,11,2
11,9,2
9,12,7
12,9,7
10,13,4
13,10,4
11,14,4
14,11,4
12,15,4
15,12,4
13,14,3
14,13,3
15,14,3
14,15,3
13,16,5
16,13,5
14,16,2
16,14,2
15,16,5
16,15,5
16,17,3
17,16,3
